loan_id,age,gender,region,employment_status,employment_length,annual_income,credit_score,dti,loan_amount,purpose,interest_rate,ip_risk_score,has_document_mismatch,income_mismatch_ratio
1,43,Male,Northland,Employed,16,111393.66,658,15.58,17117.66,debt_consolidation,0.252045272,33.4,0,1.01
2,37,Male,Waikato,Employed,9,45223.44,702,9.71,58271.25,small_business,0.156996619,21.5,0,1
3,44,Male,Gisborne,Part-time,3,47074.02,629,19.28,3250.97,small_business,0.246491717,13.4,0,0.78
4,53,Male,Waikato,Employed,7,65920.31,684,20.63,43423.73,medical,0.189463952,28.6,0,0.86
5,36,Male,Southland,Part-time,1,109776.03,676,20.99,26821.64,car,0.182082827,53.6,1,0.96
6,36,Female,Gisborne,Part-time,4,28592.22,764,19.39,30626.07,medical,0.12511484,56.4,0,1.2
7,54,Female,Gisborne,Student,2,88023.17,710,19.75,19631.85,debt_consolidation,0.175301953,12.1,0,1.01
8,46,Female,West Coast,Employed,1,49202.76,634,13.87,4562.03,car,0.238974633,11.3,0,0.97
9,33,Male,Taranaki,Self-employed,3,53502.46,634,19.25,4818.21,small_business,0.259492753,45.5,0,1.31
10,43,Male,Taranaki,Student,1,216011.73,660,24.01,8345.85,debt_consolidation,0.212745482,74.4,0,1
11,33,Male,Northland,Unemployed,6,57772.09,586,18.12,30234.7,education,0.274321512,27.7,0,1.04
12,33,Other/Prefer not to say,Marlborough,Self-employed,3,102227.79,666,18.2,15610.29,vacation,0.2042081,67.8,1,0.97
13,40,Female,Bay of Plenty,Part-time,4,100056.55,671,10.16,14669.35,vacation,0.202147946,45.5,0,0.74
14,19,Female,West Coast,Self-employed,1,32020.39,708,22.6,19475.94,education,0.149723235,0,0,1.11
15,21,Male,Marlborough,Part-time,1,21480.61,717,26.66,25215.48,car,0.144814813,12.1,0,0.93
16,32,Female,Gisborne,Employed,4,106375.63,686,25.05,10680.44,vacation,0.191633884,31.4,0,1.01
17,28,Male,Canterbury,Employed,21,33928.64,582,16.1,11951.44,debt_consolidation,0.26291352,55,0,1.06
18,41,Female,Wellington,Employed,1,23947.82,607,26.76,11019.08,other,0.277462055,43.5,0,1.44
19,29,Female,Auckland,Employed,2,120311.55,644,18.64,10685.93,home_improvement,0.257257227,57.3,0,0.8
20,24,Other/Prefer not to say,Gisborne,Unemployed,10,35259.37,719,5.48,9936.52,other,0.177691369,20.6,0,1.15
21,53,Female,Wellington,Employed,0,40889.64,717,25.47,30389.17,other,0.157464077,23.9,0,1.11
22,36,Male,Marlborough,Part-time,10,212514.7,665,9.89,32522.38,vacation,0.181760841,38,0,0.83
23,39,Female,Tasman,Employed,4,24011.82,822,12.47,25056.75,education,0.096254891,26.7,0,1.19
24,24,Female,Hawke's Bay,Employed,3,30588.24,774,17.82,5547.51,debt_consolidation,0.126515773,46,0,1.4
25,33,Male,Otago,Employed,2,49331.77,754,21.27,11905.5,education,0.126785212,29,0,0.95
26,39,Male,Nelson,Employed,2,56274.03,722,24.2,6892.09,debt_consolidation,0.146130971,44,0,1.09
27,26,Male,Bay of Plenty,Employed,2,38021.06,708,4.27,14209.36,debt_consolidation,0.145091848,49.5,0,1.2
28,42,Male,Otago,Employed,11,32433.58,703,21.71,21277.92,car,0.148335098,48.5,0,1.19
29,32,Male,Auckland,Unemployed,6,160835.78,572,5.7,21500.93,small_business,0.339041474,38.7,1,1.16
30,35,Female,Taranaki,Employed,6,76109.95,617,19.12,6302.62,small_business,0.261222657,25.4,0,1.06
31,32,Male,Auckland,Employed,8,92341.02,667,17.64,43151.69,debt_consolidation,0.214338648,48.8,0,1.27
32,57,Male,Canterbury,Unemployed,1,59862.61,688,0.93,5764.54,debt_consolidation,0.190156895,0,0,0.8
33,38,Female,West Coast,Employed,5,77328.32,673,35.52,14842.81,education,0.202081645,22.3,0,1.15
34,27,Female,Southland,Employed,3,113764.24,696,1.97,29029.57,other,0.191774264,11.4,0,1
35,46,Female,Wellington,Employed,8,35752.06,554,19.21,21123.27,debt_consolidation,0.30722014,37.9,0,0.86
36,26,Male,Gisborne,Employed,2,76194.47,710,15.62,16382.83,other,0.174283075,31.1,0,0.98
